dataset,dataset_name,window_id,start_s,end_s,sample_rows,frame_count,vehicle_count,density_veh_per_m,flow_veh_per_s,mean_speed_kmh,std_speed_kmh,speed_ratio,mean_abs_acc,std_acc,mean_headway_s,min_headway_s,mean_space_gap_m,headway_sample_count,acceleration_interference,mgti,lane_change_count,lane_change_rate,hbb_occupancy,obb_occupancy,occupancy_reduction,hbb_hfgo_occupancy,hfgo_occupancy,hfgo_occupancy_reduction,hbb_grid_active_mean,obb_grid_active_mean,grid_active_reduction,hbb_grid_entropy_mean,obb_grid_entropy_mean,grid_entropy_reduction,hbb_grid_peak_frac_mean,obb_grid_peak_frac_mean,grid_peak_gain,sgt_hfgo,direction_fluctuation,theta_conf_mean
xamn6,XAM-N-6,114,180.000,185.000,14689,300,62,0.442857,12.400000,23.957523,12.437009,0.399292,0.733998,1.372484,2.179408,0.300366,13.464865,11800,1.372484,3.0367379188537598,15,0.241935,0.05968673,0.05968673,0.00000000,0.05968673,0.05968673,0.00000000,1.613861,1.669072,-0.034211,0.070501,0.071398,-0.012718,0.868717,0.868377,-0.000339,0.02257023,1.74375579,1.000000
xamn6,XAM-N-6,115,181.000,186.000,14830,300,64,0.457143,12.800000,23.637987,12.099843,0.393966,0.700766,1.295497,2.100851,0.218086,12.992575,12001,1.295497,3.086669921875,16,0.250000,0.06053494,0.06053493,0.00000007,0.06053494,0.06053494,0.00000000,1.632367,1.681996,-0.030403,0.073161,0.073893,-0.010001,0.863582,0.863485,-0.000097,0.02383740,1.75212771,1.000000
xamn6,XAM-N-6,116,182.000,187.000,15194,300,67,0.478571,13.400000,23.454433,11.772471,0.390907,0.636132,1.159992,2.006980,0.124302,12.258167,12343,1.159992,3.1975576877593994,12,0.179104,0.06272865,0.06272865,0.00000000,0.06272865,0.06272865,0.00000000,1.609122,1.658944,-0.030962,0.071480,0.071977,-0.006953,0.867215,0.867384,0.000169,0.02517060,1.75440651,1.000000
xamn6,XAM-N-6,117,183.000,188.000,15582,300,66,0.471429,13.200000,23.400417,11.553793,0.390007,0.614322,1.122109,1.962278,0.124295,11.602974,12671,1.122109,3.202310562133789,11,0.166667,0.06512599,0.06512599,0.00000000,0.06512599,0.06512599,0.00000000,1.597805,1.642600,-0.028036,0.070559,0.070828,-0.003812,0.868780,0.869232,0.000452,0.02401820,1.75413951,1.000000
xamn6,XAM-N-6,118,184.000,189.000,16164,300,69,0.492857,13.800000,23.652054,11.612303,0.394201,0.690421,1.392040,1.959730,0.124295,11.518888,13252,1.392040,3.442537307739258,17,0.246377,0.06905741,0.06905741,0.00000000,0.06905741,0.06905741,0.00000000,1.605110,1.647736,-0.026556,0.071994,0.072039,-0.000626,0.865623,0.866469,0.000846,0.02478856,1.79685229,1.000000
xamn6,XAM-N-6,119,185.000,190.000,16810,300,70,0.500000,14.000000,23.868021,11.789810,0.397800,0.690858,1.410164,1.994130,0.123791,11.813856,13871,1.410164,3.6552484035491943,16,0.228571,0.07318227,0.07318227,0.00000000,0.07318227,0.07318227,0.00000000,1.598929,1.640036,-0.025709,0.072031,0.071900,0.001818,0.864211,0.865370,0.001159,0.02594437,1.83975136,1.000000
xamn6,XAM-N-6,120,186.000,191.000,17397,300,72,0.514286,14.400000,24.084309,11.945252,0.401405,0.741513,1.532519,2.031566,0.123791,12.064276,14398,1.532519,3.901761531829834,22,0.305556,0.07706838,0.07706839,-0.00000010,0.07706838,0.07706838,0.00000000,1.605967,1.641720,-0.022263,0.072817,0.072544,0.003749,0.862449,0.863874,0.001425,0.02709839,1.89319684,1.000000
xamn6,XAM-N-6,121,187.000,192.000,17728,300,71,0.507143,14.200000,23.987495,12.066966,0.399792,0.756425,1.522992,2.071668,0.123791,11.998625,14728,1.522992,3.996817111968994,22,0.309859,0.07926865,0.07926866,-0.00000010,0.07926865,0.07926865,0.00000000,1.616144,1.648861,-0.020244,0.073591,0.073303,0.003915,0.860707,0.862244,0.001537,0.02783834,1.91304124,1.000000
xamn6,XAM-N-6,122,188.000,193.000,17978,300,72,0.514286,14.400000,23.792667,12.153684,0.396544,0.899624,5.439667,2.092385,0.075870,11.772906,14978,5.439667,4.148067474365234,24,0.333333,0.08122072,0.08122072,0.00000000,0.08122072,0.08122072,0.00000000,1.622483,1.652798,-0.018684,0.074015,0.073836,0.002409,0.860048,0.861432,0.001384,0.02811128,1.91706415,1.000000
xamn6,XAM-N-6,123,189.000,194.000,17948,300,73,0.521429,14.600000,23.293892,12.040040,0.388232,0.896736,5.436939,2.113459,0.000026,11.451698,14905,5.436939,4.257885456085205,20,0.273973,0.08136155,0.08136155,0.00000000,0.08136155,0.08136155,0.00000000,1.636840,1.667762,-0.018892,0.076563,0.076369,0.002536,0.854302,0.855748,0.001446,0.02886962,1.88884125,1.000000
